n,fb_cpp,bt_cpp,pd_cpp,bt_py,pd_py
4,0.007383333333333333,0.005785666666666667,0.004468,0.04100666592421476,0.015672000396686297
6,0.027888,0.013219666666666666,0.011031000000000001,0.13605533361745378,0.025661332983872853
8,0.23570466666666667,0.02849,0.008331333333333335,0.7823139997829761,0.04555033350091738
10,2.6957466666666665,0.08600199999999998,0.0077410000000000005,1.7280190004385076,0.03532366645231377
12,20.3311,0.09282333333333333,0.010466000000000001,2.0618223328104555,0.06742233320740827
14,186.20100000000002,0.20227033333333333,0.011670333333333333,5.882642333138695,0.10684766736327826
16,1861.51,1.9950400000000001,0.014249,44.68785199969716,0.12226766678698671
18,18794.666666666668,6.28867,0.013688,173.24655299974742,0.08882033277283578
20,,16.3412,0.018975666666666665,,0.20411366676853504
50,,,0.09215366666666665,,1.243249666610306
100,,,0.2642716666666667,,3.966484333432163
200,,,0.6591493333333333,,11.328311333272723
500,,,3.556486666666667,,92.88498933286367
1000,,,14.078933333333334,,375.83738733277033
